# chem_formula, target, reference LZL obtained from Supercon database
Nb3Sn0.6Al0.4,15.70
Y0.95Ca0.05Ba2Cu3O6.7,72.00
Nd0.8Th0.2Fe1As1O1,43.00
Er0.79Ho0.21Rh4B4,8.22
Tc0.6W0.4,7.90
Mo0.95Zr0.05C1,13.20
Sr0.3Ba0.7Ni2P2,2.55
Sm1Fe1As1H0.22O0.78,50.00
Bi2Sr2Ca0.95Y0.05Cu2O,82.00
Y0.2Yb0.8Ba2Cu3O6.91,91.40
Nb2.73Ti0.27Al1,11.50
La2Cu1O4.022,42.00
Nb0.69Pd0.31,1.84
Er0.97Tm0.15Rh4B4,8.86
Dy1Ba2Cu2.98Fe0.02O6.88,88.00
Y0.84Lu0.16Ni2B2C1,14.80
Lu1Ni1B1C0.85,2.40
Bi2Sr2Ca1Cu2O8.329,47.30
Ca1Fe1.92Co0.08As2,20.40
La0.9Nd0.1Pt2.1B2.4C1.2,10.30
La1.943Sr0.089Cu1O4,24.60
Tm1Ba2Cu3O6.8,79.80
Lu5Ir3.4Rh0.6Si10,5.70
Pb1.75Ca0.2Y1Sr2Cu2.85Cr0.15O8,35.00
Mo7Re13B1,8.30
Si1V2.7Cr0.3,11.30
U2Pt0.95Rh0.05C2,1.41
Pb0.95Tl0.025Bi0.025,7.21
Tl1Ba2Ca1.85Na0.15Cu3O9,105.51
M0.167Nb1S2,3.50
Bi2Sr2Ca1Cu2Zn0.01C0.32H0.16N0.08O,68.30
La2.706Pr0.294Tl1,5.25
Ca0.85K0.15Cu1Cl2O2,24.00
Sn0.6175Pb0.3325In0.05Te1,1.60
Nb0.75Al0.16Ge0.09,19.70
Os2Y1,4.70
Rh1Se1.75,6.00
Bi2.1Sr2.1Ca0.8Cu1.98Ni0.02S0.02O,80.00
Bi2Sr2Ca0.8La0.2Cu2O8.26,89.00
La1.8Sr0.2Ca1Cu2O6,53.00
Bi1.7Pb0.3Sr2Ca2Cu3F0.8O9.2,117.60
Pr1Mo6S8,2.55
Ca1Fe1.85Co0.15As2,15.20
Y1Ba2Cu2.91Zn0.09O6.83,45.00
Ru1Sr2Gd0.91Nd0.09Cu2O8,23.50
Lu1Ni1.87Co0.26B2C1,6.00
Ba0.59K0.41Bi1O2.96,20.40
Ca0.2Ba1.55La1.25Cu3O7.159,68.70
Bi2Se3,8.20
Ta0.91W0.09,2.78
Ge1Te1,0.25
Y0.75Tb0.25Ni2B2C1,10.02
Mg1C1Ni2.9Co0.1,7.29
Cu0.29Bi2Se3,3.20
Ba0.5K0.5Fe1.8Ni0.2As2,11.10
U0.92Gd0.02Pd2Al3,0.64
Y1Ba2Cu3H0.1O6.765,73.00
La1.885Sr0.115Cu1O4,31.00
C1.5Ge3La5,3.30
Nb0.95Ti0.05,9.41
Y1Ba2Cu4Li0.016O8,77.00
C0.017N0.632Ta1,11.84
Nb75Ga10Al15,17.20
Y0.55Pr0.45Ba2Cu3O6.8,23.50
Li1Fe0.925Co0.075As1,7.66
Bi2Sr2Ca1Cu1.98Fe0.02O8,71.50
Nb0.3Mo0.7C1,12.10
Ge0.976Te1,0.10
Y1Sr2Cu2.8W0.2O7.2,66.00
Y1Ba2Cu2.931Zn0.069O6.6,20.00
Fe1Te0.88S0.12,6.80
Ag1Mo6S8,7.70
La1Fe1As1F0.06O0.94,18.00
Ba1Ta2S5,3.14
Y1Ba2Cu3H0.06O6.91,92.80
La2Cu0.97Zn0.03O4.1,7.30
Bi1.7Pb0.3Sr1.6La0.4Cu1O6.141,20.20
Ba0.64Na0.36Fe2As2,31.00
Ca1.76Na0.24Cu1Cl2O2,26.90
Os0.32Rh0.68,0.04
La1.79Sr0.21Cu0.96Mn0.04O4,37.00
C0.9Nb1,5.00
Bi2Sr2Ca0.9Ce0.1Cu2O8,90.00
P4W14O50,0.39
Sm0.7Pr0.3Ba2Cu3O6.8,5.00
Cr0.5Ru0.5,1.30
Y1Ba1.95K0.05Cu3O,91.40
Y0.8Ca0.2Ba2Cu3O6.78,84.20
Pr2Pt3Ge5,7.80
Nd0.94Ca0.03Th0.03Ba2Cu3O7,86.80
La1.81Sr0.19Cu0.99Ru0.01O4,26.50
Sr0.2La1.8Cu0.95Ni0.05O4,21.00
Eu1.4Ce0.6Ru1Sr2Cu2O10,40.00
Zr62.4Ti15.6Ni22,3.34
Tl0.4La1Sr1Cu1.6O5,30.00
Sn0.97As0.02Te0.98,0.03
Y1Ba2Cu2.775Zn0.225O6.93,25.00
Y1Sr1Ba1Cu2.5B0.5O7,44.00
Y1Ba2Cu2.94Zn0.06O,62.00
Ir0.95Pt0.05Te2,2.92
K0.76Fe1.61Se0.96S1.04,16.40
Eu1Fe1.2As2P0.8,21.50
La1.85Sr0.15Cu0.9875Zn0.0125O4,22.30
Mo0.8448Zr0.0352B2,8.11
Pd2Tm1Sn1,2.82
Th1In0.75Sn2.25,3.36
Ca1Ba1Eu1Cu3O7,53.00
Au0.24Te0.76,1.72
Au0.855Sn0.145,0.43
Sn0.7In0.3Te1,3.68
La1.84Ba0.16Cu1O4,29.80
Y6Nb4Al43,0.86
Bi2Sr2Ca1Cu1.2K0.8O8,93.00
Li1.3Zr1N1Cl1,11.00
Nb0.65Pd0.35,1.84
Bi1.7Sr1.3Ca2Cu3O,95.00
Eu1.80375Gd0.04625Ce0.15Cu1O4,5.70
Ba6Sr2Si46,7.20
La2.94Ce0.06In1,5.58
Al0.5Ge0.5Nb1,12.60
Y1Ba2Cu2.9Ni0.1O6.88,69.50
Ir1Th1,0.37
La3Pd4Ge4,2.75
Sr2Ho1Ru0.9Cu0.1O6,30.00
Ba0.33K0.67Bi1O3,0.77
Y0.8Ca0.2Ba1.8La0.2Cu3O,85.50
Y1Ba2Cu2.85Ni0.051Zn0.099O7,52.50
La1.83Ca0.17Cu1O4,34.00
Eu0.5La0.5F1Bi1S1Se1,3.69
Mo5.5Ru0.5Se8,5.43
Hf0.4Ta0.6,6.85
Ba1.6Sr0.4Yb0.65Ca0.35Cu2O6.4,61.00
La1Ru3Si2,7.80
Yb0.8Pr0.2Ba2Cu3O7,84.00
Ce1Fe1As0.95P0.05F0.05O0.95,17.20
La0.96Nd0.04Pt1Si1,3.04
La1.95Bi0.05Cu1O4.075,25.70
Nd1Ba2Cu2.9Ga0.1O6.61,38.00
Bi3.875Co0.125S3O4,4.79
Nb0.65Zr0.35,10.60
Rh0.4Ta0.6,2.35
Gd0.98Ca0.02Ba2Cu3O7,85.40
Ta0.025Ti0.975,1.30
Ce1Co0.7Ru0.3In5,2.13
Yb0.7Ca0.3Ba1.6Sr0.4Cu3O6.43,66.30
Y0.95Ca0.05Ba1.95La0.05Cu3O,89.50
Y1Ba2Cu3O6.858,87.40
Gd0.55Ca0.35Hf0.15Ba2Cu3O7.06,76.00
Er0.8Hf0.2Ba2Cu3O6.772,78.80
Y1Ba2Cu2.7Co0.3O6.88,22.00
Re0.6W00.4,6.00
La1.575Nd0.3Sr0.125Cu1O4,9.00
Nd1.1Ba1.9Cu3O6.96,87.60
Th0.8Y0.2,1.64
B1Sr2Ca4Cu5O13,85.00
Nb3Rh0.95Au0.05,2.52
Eu1.4Pr0.1Ce0.5Sr2Cu2Nb1O10,18.40
Sr0.9Y0.1Cu1O2,36.60
Bi2.2Ca1Sr1.9Cu2O8,86.50
Bi2Sr1.5La0.5Cu1O6.38,21.00
Hf1V2H0.4,8.42
Y1Ba2Cu3.96Mn0.04O8,62.80
Y1Ba2Cu2.85Mn0.15O7,91.10
Fe0.99Ni0.01Se0.82,6.65
Y1Ba2Cu2.97Zn0.03O6.76,61.40
Bi1.6Pb0.4Sr1.8Ba0.2Ca1.98Er0.02Cu3O,107.00
Pr0.75Ce0.25Pt4Ge12,1.01
Ba0.47K0.53Bi0.985Pr0.015O3,5.20
Pb2Sr2Ho0.05Ca0.5Cu2.994Al0.006O8,76.40
Pr1Ba2Cu3O6.6,60.00
C0.6Pd1,1.30
Th0.9La0.2Ru2,5.87
Ce1Co1In4.97Sn0.03,1.86
Os0.05Zr0.95,5.38
Y1Ba2Cu2.64Co0.36O7.03,22.00
La0.7Ti0.3Bi1S2O1,2.22
Ba0.83K0.17Bi1O3,20.00
Sm1Ba2Cu2.9Zn0.1O7,43.60
La1Tl3,1.63
Tl0.8Sr1.8Yb0.2Ca1Cu2.2O7,78.35
Ba2Ti2Fe1.92Cr0.08As4O1,8.21
Y1Ba2Cu2.95Ni0.05O,86.80
